"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"286",1,0,1,3,3,2,"British Columbia",99,"Other"
"288",1,0,1,3,3,3,"British Columbia",99,"Buddhist"
"290",0,0,99,3,4,3,"Ontario",99,"Non-religious"
"292",0,0,1,2,3,1,"Ontario",6,"Catholic"
"293",0,0,1,4,4,2,"Ontario",99,"Other"
"294",0,0,3,2,4,2,"Ontario",7,"Catholic"
"295",0,0,99,4,4,3,"Ontario",99,"Non-religious"
"296",0,0,1,3,3,1,"Saskatchewan",99,"Buddhist"
"297",1,1,1,3,4,1,"Ontario",99,"Muslim"
"298",1,0,4,3,3,3,"British Columbia",99,"Sikh"
"299",1,1,1,2,2,2,"Ontario",99,"Other"
"300",0,1,99,2,3,3,"Ontario",99,"Non-religious"
"301",0,0,2,1,1,3,"Ontario",6,"Catholic"
"303",1,0,1,3,3,3,"Alberta",2,"Catholic"
"304",0,1,4,3,3,2,"Alberta",99,"Other Christian"
"305",0,1,3,2,4,3,"Alberta",99,"Hindu"
"306",0,1,2,3,2,2,"Manitoba",99,"Hindu"
"307",0,1,4,2,4,2,"Alberta",8,"Catholic"
"308",1,1,4,3,3,3,"Alberta",99,"Muslim"
"309",1,0,1,1,1,1,"British Columbia",99,"Hindu"
"310",0,0,2,2,3,1,"Alberta",99,"Sikh"
"311",0,0,99,2,3,1,"Alberta",99,"Non-religious"
"312",0,1,4,3,4,3,"Alberta",8,"Catholic"
"313",0,1,99,4,3,3,"British Columbia",99,"Non-religious"
"316",0,0,2,3,3,3,"Alberta",99,"Sikh"
"317",1,1,4,3,3,3,"Ontario",99,"Muslim"
"318",1,0,1,3,2,4,"Newfoundland and Labrador",99,"Muslim"
"319",0,1,3,2,3,4,"Ontario",10,"Catholic"
"320",1,1,99,3,3,3,"Alberta",99,"Non-religious"
"321",0,1,2,3,3,2,"Alberta",99,"Hindu"
"322",0,1,2,3,4,2,"Alberta",99,"Sikh"
"323",1,1,2,3,4,3,"British Columbia",8,"Catholic"
"324",1,0,2,4,3,3,"Alberta",99,"Hindu"
"325",0,0,3,4,4,3,"Alberta",99,"Sikh"
"326",1,1,1,2,3,3,"Ontario",5,"Catholic"
