"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"956",1,0,99,3,3,2,"Manitoba",99,"Non-religious"
"957",0,0,99,1,3,3,"Manitoba",99,"Non-religious"
"958",0,0,99,2,3,5,"Alberta",99,"Non-religious"
"959",0,0,2,2,3,1,"Alberta",99,"Buddhist"
"960",0,0,99,3,3,1,"British Columbia",99,"Non-religious"
"961",0,0,2,1,4,2,"British Columbia",99,"Anglican"
"962",0,0,99,1,3,2,"British Columbia",99,"Non-religious"
"963",0,0,99,2,2,2,"British Columbia",99,"Non-religious"
"964",0,1,1,1,3,1,"British Columbia",99,"Other Christian"
"965",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"966",0,1,1,3,4,1,"British Columbia",99,"Other Christian"
"967",0,1,99,3,3,2,"British Columbia",99,"Non-religious"
"968",0,0,1,3,3,1,"British Columbia",99,"Other"
"969",1,0,99,2,3,2,"British Columbia",99,"Non-religious"
"970",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"971",1,0,1,2,3,3,"British Columbia",6,"Catholic"
"972",0,0,1,4,4,3,"British Columbia",99,"Other Christian"
"973",1,0,99,1,1,3,"British Columbia",99,"Non-religious"
"974",0,0,1,1,1,2,"Manitoba",10,"Catholic"
"975",1,0,1,2,1,3,"British Columbia",99,"Other"
"976",0,0,99,1,3,4,"Nova Scotia",99,"Non-religious"
"977",1,0,2,1,2,4,"Manitoba",8,"Catholic"
"978",0,0,2,3,3,3,"Manitoba",99,"Other Christian"
"979",0,0,2,3,2,3,"Manitoba",3,"Catholic"
"980",0,0,2,3,3,3,"Manitoba",5,"Catholic"
"981",0,0,1,1,2,3,"British Columbia",99,"Anglican"
"982",1,0,1,1,4,3,"Alberta",3,"Catholic"
"984",1,0,1,3,3,3,"Manitoba",99,"Jewish"
"985",1,1,99,3,3,3,"British Columbia",99,"Non-religious"
"986",0,0,99,3,4,3,"Alberta",99,"Non-religious"
"988",1,0,1,2,4,3,"British Columbia",99,"Other"
"989",0,1,99,3,4,2,"Alberta",99,"Non-religious"
"990",1,0,99,1,1,3,"British Columbia",99,"Non-religious"
"991",1,1,1,3,3,2,"Manitoba",10,"United Church"
"992",1,0,4,3,3,3,"Manitoba",99,"Muslim"
"993",0,0,3,3,3,3,"Manitoba",99,"Other Christian"
"994",0,1,99,2,3,2,"British Columbia",99,"Non-religious"
"995",0,1,1,1,2,5,"British Columbia",10,"United Church"
"996",1,1,3,4,4,4,"British Columbia",99,"Anglican"
"998",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"999",1,0,99,2,3,3,"British Columbia",99,"Non-religious"
"1000",0,1,2,2,3,2,"Manitoba",7,"United Church"
"1001",1,0,4,4,3,1,"Manitoba",99,"Other Christian"
"1002",1,0,99,4,3,1,"British Columbia",99,"Non-religious"
"1003",0,1,4,4,3,3,"Alberta",10,"Catholic"
"1004",1,1,1,1,3,4,"Alberta",99,"Other Christian"
"1005",0,1,4,2,3,3,"Alberta",99,"Other Christian"
"1006",0,0,3,3,3,4,"Alberta",99,"Other Christian"
"1007",0,0,2,2,3,2,"British Columbia",99,"Anglican"
"1008",0,0,2,3,3,3,"Manitoba",7,"United Church"
"1009",0,0,1,2,4,3,"British Columbia",8,"United Church"
"1010",1,0,99,2,3,2,"Manitoba",99,"Non-religious"
"1011",0,0,2,3,3,3,"British Columbia",3,"Catholic"
"1012",1,0,99,2,4,4,"Alberta",99,"Non-religious"
"1013",0,1,1,2,3,2,"Manitoba",99,"Other Christian"
"1014",0,0,2,4,4,4,"Manitoba",10,"Catholic"
"1015",1,0,1,4,3,3,"Manitoba",99,"Jewish"
"1016",1,1,2,2,3,3,"Manitoba",6,"Catholic"
"1017",1,1,99,1,3,3,"Manitoba",99,"Non-religious"
"1018",1,0,99,1,2,3,"Manitoba",99,"Non-religious"
"1019",1,1,99,1,4,2,"British Columbia",99,"Non-religious"
"1020",0,0,1,3,3,2,"Manitoba",9,"Catholic"
"1021",0,1,2,2,2,4,"Ontario",8,"Catholic"
"1022",1,0,1,3,4,3,"Manitoba",8,"Catholic"
"1024",0,1,4,4,3,4,"Manitoba",99,"Other Christian"
"1025",0,0,1,2,3,4,"British Columbia",99,"Other Christian"
"1026",1,1,1,1,3,3,"Manitoba",8,"United Church"
"1027",0,0,4,3,4,3,"Manitoba",99,"Other Christian"
"1028",0,0,4,4,3,3,"Manitoba",99,"Other Christian"
"1029",1,1,1,2,3,3,"Manitoba",5,"United Church"
"1030",1,1,4,3,3,2,"Manitoba",8,"United Church"
"1031",0,0,1,2,2,3,"British Columbia",99,"Other Christian"
"1032",0,1,2,1,3,2,"British Columbia",99,"Anglican"
"1033",0,0,1,1,2,3,"British Columbia",5,"Catholic"
"1034",0,0,2,3,4,3,"Manitoba",99,"Other Christian"
"1035",0,0,99,2,3,3,"Manitoba",99,"Non-religious"
"1036",1,0,1,3,3,2,"Manitoba",3,"United Church"
"1037",1,0,2,1,3,3,"British Columbia",99,"Anglican"
"1038",1,1,99,1,4,3,"British Columbia",99,"Non-religious"
"1039",0,0,99,2,4,3,"Manitoba",99,"Non-religious"
"1040",0,0,2,3,4,2,"Manitoba",0,"Catholic"
"1041",0,0,2,4,4,1,"Alberta",8,"United Church"
"1042",0,0,4,4,4,3,"Manitoba",99,"Other Christian"
"1043",1,0,2,3,4,3,"Manitoba",6,"United Church"
"1044",0,1,99,2,2,1,"Ontario",99,"Non-religious"
"1045",0,0,1,2,2,3,"Manitoba",99,"Other Christian"
"1046",0,0,2,3,3,3,"Manitoba",99,"Other Christian"
"1047",1,0,1,2,2,2,"Alberta",8,"Catholic"
"1048",0,0,1,1,4,1,"Alberta",0,"United Church"
"1049",1,1,99,2,2,1,"Ontario",99,"Non-religious"
"1050",0,1,1,1,3,1,"Ontario",99,"Muslim"
"1051",0,1,1,2,4,2,"Ontario",3,"Catholic"
"1052",1,1,99,3,3,1,"Ontario",99,"Non-religious"
"1053",1,0,1,1,3,3,"New Brunswick",5,"Catholic"
"1054",0,0,2,4,3,3,"New Brunswick",99,"Other Christian"
"1055",1,0,99,4,4,4,"Ontario",99,"Non-religious"
"1056",0,0,1,3,3,1,"Ontario",99,"Other Christian"
"1057",1,0,4,4,3,3,"New Brunswick",9,"Catholic"
"1058",0,0,99,2,4,3,"New Brunswick",99,"Non-religious"
"1059",1,0,2,1,3,3,"British Columbia",2,"Catholic"
"1060",1,0,4,1,1,3,"British Columbia",99,"Other Christian"
"1061",0,0,99,2,2,3,"New Brunswick",99,"Non-religious"
"1062",0,0,99,1,1,1,"British Columbia",99,"Non-religious"
"1063",1,0,3,3,3,2,"British Columbia",99,"Other Christian"
"1064",0,1,2,1,2,2,"British Columbia",5,"United Church"
"1065",0,1,99,3,3,2,"New Brunswick",99,"Non-religious"
"1066",0,0,1,1,1,2,"New Brunswick",0,"Catholic"
"1067",0,1,2,1,1,3,"British Columbia",99,"Anglican"
"1068",0,1,1,1,3,3,"British Columbia",99,"Anglican"
"1069",0,0,1,2,3,3,"New Brunswick",5,"Catholic"
"1070",0,1,3,1,3,3,"British Columbia",99,"Other"
"1071",1,0,99,1,3,1,"Alberta",99,"Non-religious"
"1072",1,1,2,2,3,3,"New Brunswick",99,"Other Christian"
"1073",1,0,2,4,2,3,"Alberta",9,"Catholic"
"1074",0,0,1,1,2,3,"New Brunswick",0,"Catholic"
"1075",1,0,1,1,1,1,"British Columbia",99,"Anglican"
"1076",1,0,4,2,2,3,"New Brunswick",0,"Catholic"
"1077",0,0,4,2,2,1,"British Columbia",99,"Other Christian"
"1078",1,0,1,3,3,3,"British Columbia",99,"Other"
"1079",1,0,1,2,2,1,"British Columbia",99,"Anglican"
"1080",0,1,2,2,3,3,"New Brunswick",9,"Catholic"
"1081",0,0,99,2,3,3,"New Brunswick",99,"Non-religious"
"1082",0,0,4,3,2,3,"New Brunswick",99,"Other Christian"
"1083",0,0,4,4,3,1,"New Brunswick",7,"Catholic"
"1084",0,1,2,2,4,3,"New Brunswick",5,"Catholic"
"1085",0,0,4,2,3,3,"New Brunswick",4,"Catholic"
"1086",0,0,99,3,3,3,"New Brunswick",99,"Non-religious"
"1087",0,0,99,3,4,2,"New Brunswick",99,"Non-religious"
"1088",0,0,4,3,2,2,"New Brunswick",99,"Other Christian"
"1089",0,1,2,3,3,3,"New Brunswick",5,"Catholic"
"1090",0,0,4,4,3,2,"Manitoba",99,"Other Christian"
"1091",1,0,2,2,3,5,"British Columbia",99,"Anglican"
"1092",0,0,99,3,3,4,"New Brunswick",99,"Non-religious"
"1093",0,0,2,3,3,3,"New Brunswick",4,"Catholic"
"1094",0,0,1,2,3,3,"New Brunswick",99,"Other Christian"
"1095",1,0,4,3,4,3,"New Brunswick",99,"Other Christian"
"1096",1,0,1,1,3,3,"New Brunswick",1,"Catholic"
"1097",0,0,1,2,2,3,"New Brunswick",9,"Catholic"
"1098",0,0,2,1,2,3,"British Columbia",7,"United Church"
"1099",0,0,1,2,3,3,"New Brunswick",99,"Other Christian"
"1100",0,0,99,1,1,3,"New Brunswick",99,"Non-religious"
"1101",1,1,3,1,1,2,"New Brunswick",99,"Anglican"
"1102",0,1,1,2,2,3,"New Brunswick",99,"Other Christian"
"1103",0,0,2,2,2,3,"New Brunswick",99,"Other"
"1104",1,0,4,4,3,3,"New Brunswick",99,"Other Christian"
"1106",1,0,4,3,2,3,"New Brunswick",99,"Other Christian"
"1107",0,0,2,3,3,3,"New Brunswick",7,"Catholic"
"1108",0,0,4,3,2,2,"New Brunswick",99,"Other"
"1109",0,0,99,4,4,3,"New Brunswick",99,"Non-religious"
"1110",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"1111",1,1,2,3,3,3,"New Brunswick",6,"Catholic"
"1112",0,0,2,4,4,2,"New Brunswick",99,"Other"
"1113",0,0,1,2,4,3,"New Brunswick",7,"United Church"
"1114",0,0,99,4,4,3,"Ontario",99,"Non-religious"
"1115",0,0,1,1,4,3,"New Brunswick",7,"Catholic"
"1116",0,0,99,1,2,2,"New Brunswick",99,"Non-religious"
"1117",1,1,99,4,3,2,"Ontario",99,"Non-religious"
"1118",1,1,1,2,3,2,"New Brunswick",8,"Catholic"
"1119",0,1,4,3,2,2,"New Brunswick",99,"Other Christian"
"1120",0,0,2,3,2,1,"New Brunswick",99,"Other Christian"
"1121",1,0,1,1,2,3,"British Columbia",99,"Anglican"
"1122",1,1,4,3,2,2,"New Brunswick",99,"Other Christian"
"1123",1,0,1,2,4,2,"New Brunswick",4,"Catholic"
"1124",1,0,1,3,4,1,"New Brunswick",3,"Catholic"
"1125",0,0,1,1,3,3,"New Brunswick",5,"Catholic"
"1126",1,0,1,1,1,4,"New Brunswick",99,"Anglican"
"1127",1,0,99,3,3,3,"New Brunswick",99,"Non-religious"
"1128",1,0,1,1,2,3,"British Columbia",99,"Other Christian"
"1129",0,0,1,2,2,2,"New Brunswick",99,"Other"
"1130",0,0,1,2,4,3,"New Brunswick",7,"United Church"
"1131",0,0,2,4,3,3,"New Brunswick",8,"Catholic"
"1132",0,0,2,4,2,2,"British Columbia",99,"Other Christian"
"1133",0,1,2,3,3,3,"Newfoundland and Labrador",99,"Anglican"
"1134",0,1,2,3,3,4,"Newfoundland and Labrador",7,"Catholic"
"1135",0,0,1,2,2,3,"Newfoundland and Labrador",5,"Catholic"
"1136",1,1,2,1,4,3,"Newfoundland and Labrador",99,"Anglican"
"1137",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"1138",1,1,1,3,3,3,"Newfoundland and Labrador",7,"Catholic"
"1140",1,0,1,1,1,3,"Newfoundland and Labrador",2,"Catholic"
"1141",0,0,1,1,1,3,"British Columbia",99,"Other Christian"
"1142",1,0,99,2,3,2,"British Columbia",99,"Non-religious"
"1143",0,0,2,2,3,4,"Ontario",6,"Catholic"
"1144",0,0,4,2,2,3,"Newfoundland and Labrador",4,"United Church"
"1145",1,0,99,1,3,2,"British Columbia",99,"Non-religious"
"1146",0,1,99,3,4,3,"Newfoundland and Labrador",99,"Non-religious"
"1147",1,0,1,4,3,5,"Newfoundland and Labrador",8,"United Church"
"1148",1,0,1,3,4,4,"Newfoundland and Labrador",4,"United Church"
"1149",1,0,1,2,2,3,"Ontario",99,"Anglican"
"1150",0,0,2,3,3,3,"Newfoundland and Labrador",8,"Catholic"
"1151",1,1,1,2,2,3,"Newfoundland and Labrador",6,"Catholic"
"1152",0,0,4,2,2,2,"British Columbia",99,"Other Christian"
"1153",0,0,2,1,2,3,"British Columbia",6,"Catholic"
"1154",0,0,99,2,2,3,"Manitoba",99,"Non-religious"
"1155",0,0,4,4,4,5,"Newfoundland and Labrador",99,"Other Christian"
"1156",1,0,2,2,2,3,"Newfoundland and Labrador",99,"Anglican"
"1157",0,0,2,1,3,2,"British Columbia",99,"Anglican"
"1158",0,0,99,2,2,3,"Manitoba",99,"Non-religious"
"1159",0,0,2,2,4,3,"Manitoba",99,"Anglican"
"1160",1,0,99,2,4,3,"Alberta",99,"Non-religious"
"1161",0,1,99,3,3,3,"Newfoundland and Labrador",99,"Non-religious"
"1162",0,1,2,2,4,3,"Newfoundland and Labrador",4,"Catholic"
"1163",0,0,2,3,3,3,"Newfoundland and Labrador",99,"Other Christian"
"1164",1,0,2,3,4,3,"Newfoundland and Labrador",10,"Catholic"
"1165",0,0,1,1,2,5,"Newfoundland and Labrador",6,"Catholic"
"1166",0,1,99,3,4,1,"Ontario",99,"Non-religious"
"1167",0,0,2,3,4,3,"Alberta",6,"Catholic"
"1168",1,0,99,2,3,1,"Alberta",99,"Non-religious"
"1169",1,1,1,2,3,3,"British Columbia",8,"Catholic"
"1170",0,1,4,4,3,3,"British Columbia",99,"Other Christian"
"1171",1,0,99,2,4,3,"Alberta",99,"Non-religious"
"1172",0,1,2,2,3,3,"Newfoundland and Labrador",99,"Anglican"
"1173",1,0,1,3,2,3,"Newfoundland and Labrador",99,"Other Christian"
"1174",1,0,1,3,4,3,"Newfoundland and Labrador",99,"Anglican"
"1176",1,0,99,3,2,5,"British Columbia",99,"Non-religious"
"1177",0,0,1,1,3,3,"Newfoundland and Labrador",5,"Catholic"
"1179",0,0,1,1,1,4,"Newfoundland and Labrador",4,"Catholic"
"1180",1,0,2,2,2,4,"Ontario",99,"Anglican"
"1181",1,1,2,2,4,4,"Newfoundland and Labrador",99,"Anglican"
"1182",0,0,4,2,2,3,"Newfoundland and Labrador",10,"Catholic"
"1183",1,1,99,3,3,3,"Newfoundland and Labrador",99,"Non-religious"
"1184",0,0,2,3,3,3,"Newfoundland and Labrador",8,"United Church"
"1185",0,0,2,3,2,3,"Newfoundland and Labrador",5,"Catholic"
"1186",1,0,1,2,3,4,"Newfoundland and Labrador",8,"Catholic"
"1187",1,1,99,3,4,5,"Newfoundland and Labrador",99,"Non-religious"
"1188",1,0,3,3,3,3,"Newfoundland and Labrador",4,"Catholic"
"1189",0,0,2,3,3,3,"Newfoundland and Labrador",99,"Anglican"
"1190",1,0,4,4,3,5,"Newfoundland and Labrador",99,"Other Christian"
"1191",1,1,2,2,4,2,"Ontario",99,"Other Christian"
"1192",1,1,2,2,3,3,"Newfoundland and Labrador",3,"United Church"
"1193",1,0,1,3,3,3,"Newfoundland and Labrador",8,"Catholic"
"1194",1,0,1,1,1,3,"Newfoundland and Labrador",2,"Catholic"
"1195",1,0,1,1,1,3,"British Columbia",5,"United Church"
"1196",0,0,99,1,2,2,"Newfoundland and Labrador",99,"Non-religious"
"1197",1,0,3,4,4,4,"Newfoundland and Labrador",5,"United Church"
"1198",1,0,4,4,3,2,"British Columbia",9,"Catholic"
"1199",0,0,1,3,4,3,"British Columbia",99,"Other"
"1200",0,0,1,1,4,5,"Newfoundland and Labrador",8,"Catholic"
"1201",1,0,99,2,2,2,"Ontario",99,"Non-religious"
"1202",1,0,99,1,3,1,"Ontario",99,"Non-religious"
"1203",1,0,4,4,4,3,"Newfoundland and Labrador",99,"Anglican"
"1205",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"1206",0,1,99,1,2,3,"Nova Scotia",99,"Non-religious"
"1207",0,0,4,2,3,3,"Nova Scotia",7,"Catholic"
"1208",0,1,99,3,3,3,"British Columbia",99,"Non-religious"
"1209",0,1,4,4,4,2,"Nova Scotia",8,"Catholic"
"1210",1,0,2,1,3,3,"British Columbia",99,"Other Christian"
"1211",0,0,99,3,3,3,"New Brunswick",99,"Non-religious"
"1212",0,0,99,1,2,2,"New Brunswick",99,"Non-religious"
"1213",0,1,99,1,3,4,"Nova Scotia",99,"Non-religious"
"1214",0,0,3,2,4,3,"Quebec",6,"Catholic"
"1215",0,0,2,3,2,4,"Ontario",3,"United Church"
"1216",1,0,1,3,3,2,"Nova Scotia",99,"Jewish"
"1217",0,1,99,3,4,4,"Nova Scotia",99,"Non-religious"
"1218",1,0,1,1,2,3,"British Columbia",99,"Anglican"
"1219",1,0,99,1,4,3,"British Columbia",99,"Non-religious"
"1220",0,1,2,2,2,3,"Ontario",6,"Catholic"
"1221",0,1,4,1,1,1,"Ontario",9,"Catholic"
"1223",1,1,99,3,3,1,"Nova Scotia",99,"Non-religious"
"1224",1,0,99,2,3,2,"Nova Scotia",99,"Non-religious"
"1225",0,0,99,3,3,3,"Nova Scotia",99,"Non-religious"
"1226",1,0,99,2,2,1,"Ontario",99,"Non-religious"
"1227",0,0,99,4,4,3,"Nova Scotia",99,"Non-religious"
"1228",0,1,1,2,4,3,"Ontario",6,"United Church"
"1229",0,1,4,1,3,1,"Ontario",2,"United Church"
"1230",1,1,1,1,3,3,"Ontario",99,"Anglican"
"1231",0,0,2,2,4,3,"Nova Scotia",99,"Anglican"
"1232",1,0,1,3,3,2,"Nova Scotia",4,"Catholic"
"1233",0,1,1,4,4,5,"Nova Scotia",99,"Anglican"
"1234",0,1,2,3,3,3,"Nova Scotia",3,"Catholic"
"1235",0,1,2,2,3,2,"Nova Scotia",99,"Other"
"1236",0,0,99,1,3,5,"Nova Scotia",99,"Non-religious"
"1237",0,1,99,2,4,3,"Alberta",99,"Non-religious"
"1238",0,1,2,3,2,3,"Alberta",99,"Other Christian"
"1239",0,0,3,2,3,2,"Nova Scotia",5,"United Church"
"1240",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"1241",0,0,99,2,3,2,"British Columbia",99,"Non-religious"
"1242",0,1,4,3,4,4,"Nova Scotia",6,"Catholic"
"1243",0,0,99,1,3,3,"British Columbia",99,"Non-religious"
"1244",1,0,1,3,3,3,"British Columbia",5,"United Church"
"1245",0,1,4,1,1,2,"British Columbia",99,"Other Christian"
"1246",1,1,99,1,2,3,"Nova Scotia",99,"Non-religious"
"1247",0,1,2,3,3,2,"Nova Scotia",99,"Other Christian"
"1249",0,0,1,1,2,3,"Nova Scotia",99,"Jewish"
"1250",0,1,99,3,3,3,"Nova Scotia",99,"Non-religious"
"1251",1,0,99,1,2,5,"Nova Scotia",99,"Non-religious"
"1252",0,0,4,2,3,3,"Nova Scotia",99,"Anglican"
"1253",1,1,99,4,4,2,"Nova Scotia",99,"Non-religious"
"1254",0,1,99,1,4,3,"Nova Scotia",99,"Non-religious"
"1255",1,0,2,1,4,2,"Nova Scotia",99,"Anglican"
"1256",1,0,2,1,1,1,"Manitoba",99,"Other Christian"
"1257",0,0,4,2,3,2,"Nova Scotia",7,"United Church"
"1258",0,0,99,4,3,3,"Nova Scotia",99,"Non-religious"
"1259",0,1,99,1,2,2,"Nova Scotia",99,"Non-religious"
"1260",0,0,4,3,3,1,"Manitoba",99,"Other Christian"
"1261",0,1,99,3,3,2,"Nova Scotia",99,"Non-religious"
"1262",0,0,99,4,2,2,"Nova Scotia",99,"Non-religious"
"1263",0,0,1,1,1,3,"Nova Scotia",7,"United Church"
"1264",0,1,99,2,4,2,"Nova Scotia",99,"Non-religious"
"1265",0,0,1,2,4,3,"Nova Scotia",99,"Other Christian"
"1266",0,0,4,3,3,4,"Nova Scotia",99,"Muslim"
"1267",0,0,1,1,1,3,"Nova Scotia",5,"Catholic"
"1268",0,0,1,2,3,2,"Nova Scotia",7,"United Church"
"1269",0,0,2,3,4,1,"Ontario",99,"Jewish"
"1270",1,0,1,2,2,3,"Nova Scotia",7,"Catholic"
"1271",0,0,99,2,4,4,"Nova Scotia",99,"Non-religious"
"1272",0,1,4,4,3,3,"Manitoba",10,"Catholic"
"1273",1,0,2,2,4,2,"Nova Scotia",8,"United Church"
"1274",1,0,1,2,4,3,"Manitoba",8,"United Church"
"1275",0,0,1,1,4,4,"Newfoundland and Labrador",99,"Anglican"
"1276",0,0,99,2,2,3,"Manitoba",99,"Non-religious"
"1277",1,0,99,1,1,2,"British Columbia",99,"Non-religious"
"1278",1,0,2,2,1,3,"Manitoba",10,"Catholic"
"1279",0,0,99,2,3,2,"Manitoba",99,"Non-religious"
"1280",0,0,2,2,4,3,"British Columbia",99,"Other Christian"
"1281",0,0,99,2,2,3,"Nova Scotia",99,"Non-religious"
"1282",0,0,1,1,3,4,"Nova Scotia",5,"Catholic"
"1283",1,0,2,2,4,3,"Nova Scotia",99,"Anglican"
"1284",0,0,2,4,4,4,"Nova Scotia",99,"Other Christian"
"1285",0,1,1,1,2,3,"Nova Scotia",8,"Catholic"
"1286",0,0,99,3,2,1,"Nova Scotia",99,"Non-religious"
"1287",0,0,2,2,4,4,"Nova Scotia",6,"United Church"
"1289",0,0,99,1,2,3,"Nova Scotia",99,"Non-religious"
"1290",0,0,99,1,2,4,"Nova Scotia",99,"Non-religious"
"1291",0,0,1,3,3,3,"Nova Scotia",99,"Other Christian"
"1292",1,0,2,2,3,2,"Nova Scotia",3,"Catholic"
"1293",1,1,99,1,2,3,"Nova Scotia",99,"Non-religious"
"1294",0,1,99,3,3,3,"Nova Scotia",99,"Non-religious"
"1295",0,1,4,3,4,3,"Nova Scotia",6,"Catholic"
"1296",0,0,1,1,2,3,"Ontario",0,"Catholic"
"1297",1,0,4,2,2,3,"Nova Scotia",8,"Catholic"
"1298",0,1,4,4,4,3,"Nova Scotia",99,"Other Christian"
"1299",0,0,99,1,4,3,"Nova Scotia",99,"Non-religious"
"1300",1,0,4,3,4,2,"Manitoba",99,"Jewish"
"1301",0,0,99,1,1,3,"British Columbia",99,"Non-religious"
"1302",0,1,2,2,2,3,"Manitoba",8,"Catholic"
"1303",0,0,99,4,4,3,"Nova Scotia",99,"Non-religious"
"1304",0,0,2,4,4,3,"Nova Scotia",99,"Anglican"
"1305",0,0,2,2,2,2,"Nova Scotia",5,"United Church"
"1306",0,0,99,1,4,3,"Nova Scotia",99,"Non-religious"
"1307",0,0,99,1,1,2,"Nova Scotia",99,"Non-religious"
"1308",1,0,1,2,3,3,"Nova Scotia",5,"Catholic"
"1309",0,0,4,4,3,2,"Nova Scotia",99,"Other Christian"
"1310",0,0,99,2,3,3,"Nova Scotia",99,"Non-religious"
"1311",0,0,99,2,3,1,"Nova Scotia",99,"Non-religious"
"1313",1,0,4,4,4,3,"Nova Scotia",8,"Catholic"
"1314",1,0,99,2,4,2,"Nova Scotia",99,"Non-religious"
"1315",1,1,4,2,2,4,"Alberta",99,"Other Christian"
"1316",1,0,99,3,3,2,"Nova Scotia",99,"Non-religious"
"1317",1,0,4,1,2,3,"Nova Scotia",99,"Other Christian"
"1318",0,0,1,2,4,3,"Manitoba",99,"Other Christian"
"1319",0,0,4,4,3,3,"Manitoba",99,"Other Christian"
"1321",1,0,2,2,3,2,"Nova Scotia",6,"United Church"
"1323",0,0,1,2,4,3,"Nova Scotia",1,"Catholic"
"1324",0,0,99,3,4,3,"Alberta",99,"Non-religious"
"1325",1,0,4,3,4,3,"Alberta",99,"Other Christian"
"1326",0,0,2,3,3,1,"Manitoba",99,"Anglican"
"1327",0,1,99,3,3,3,"Manitoba",99,"Non-religious"
"1328",0,1,99,3,3,3,"Manitoba",99,"Non-religious"
"1329",0,1,99,2,4,2,"Manitoba",99,"Non-religious"
"1330",0,0,99,3,4,4,"Nova Scotia",99,"Non-religious"
"1331",0,0,1,2,2,3,"Nova Scotia",4,"Catholic"
"1333",0,0,99,3,3,4,"Nova Scotia",99,"Non-religious"
"1334",1,0,4,1,3,3,"Manitoba",8,"Catholic"
"1335",0,0,2,3,3,3,"Manitoba",99,"Jewish"
"1336",1,0,99,1,3,2,"Manitoba",99,"Non-religious"
"1337",1,0,1,2,3,2,"Nova Scotia",99,"Other Christian"
"1338",1,0,99,3,3,4,"Nova Scotia",99,"Non-religious"
"1339",1,0,99,2,2,4,"Manitoba",99,"Non-religious"
"1340",0,1,99,2,2,3,"Ontario",99,"Non-religious"
"1342",0,0,1,3,2,3,"Nova Scotia",4,"Catholic"
"1343",0,0,1,2,3,3,"Nova Scotia",5,"Catholic"
"1344",0,0,99,3,3,3,"Nova Scotia",99,"Non-religious"
"1345",1,1,4,2,3,2,"Alberta",9,"United Church"
"1346",0,0,99,3,3,2,"Manitoba",99,"Non-religious"
"1347",1,1,99,2,4,2,"Manitoba",99,"Non-religious"
"1348",0,1,99,3,2,1,"Nova Scotia",99,"Non-religious"
"1349",0,0,2,3,3,3,"Manitoba",5,"Catholic"
"1350",1,1,3,3,3,4,"British Columbia",7,"Catholic"
"1351",1,1,99,1,3,2,"Manitoba",99,"Non-religious"
"1352",1,1,99,3,3,2,"Manitoba",99,"Non-religious"
"1353",0,1,99,3,3,3,"Manitoba",99,"Non-religious"
"1354",0,0,99,2,2,2,"Manitoba",99,"Non-religious"
"1355",1,0,99,2,2,3,"Ontario",99,"Non-religious"
"1358",0,0,99,2,3,2,"Manitoba",99,"Non-religious"
"1359",0,1,4,3,3,5,"Manitoba",99,"Other Christian"
"1360",0,0,99,4,4,3,"Manitoba",99,"Non-religious"
"1361",0,0,1,1,1,1,"Manitoba",99,"Anglican"
"1362",0,1,3,3,3,3,"Manitoba",99,"Other"
"1363",0,1,99,2,3,2,"Manitoba",99,"Non-religious"
"1364",1,0,2,2,2,3,"Ontario",6,"Catholic"
"1365",0,0,2,1,3,3,"Ontario",3,"Catholic"
"1366",0,0,1,1,1,2,"Ontario",7,"Catholic"
"1367",0,0,2,3,3,3,"British Columbia",0,"United Church"
"1368",0,0,1,1,2,3,"British Columbia",99,"Anglican"
"1369",0,0,99,3,4,3,"British Columbia",99,"Non-religious"
"1370",0,0,2,3,4,3,"British Columbia",10,"Catholic"
"1371",1,0,4,3,3,3,"Manitoba",99,"Other Christian"
"1372",0,1,99,3,4,1,"Ontario",99,"Non-religious"
"1373",0,0,1,3,3,2,"Manitoba",8,"Catholic"
"1374",1,1,1,2,2,3,"Ontario",99,"Buddhist"
"1375",1,0,1,2,2,3,"Manitoba",99,"Other Christian"
"1376",1,0,3,3,2,2,"British Columbia",10,"Catholic"
"1377",0,0,2,3,3,1,"Ontario",99,"Anglican"
"1378",0,1,1,1,4,2,"Ontario",5,"United Church"
"1379",0,0,99,2,3,3,"Ontario",99,"Non-religious"
"1380",0,0,99,2,3,2,"Ontario",99,"Non-religious"
"1381",1,0,99,4,4,5,"Ontario",99,"Non-religious"
"1383",0,0,3,4,2,1,"Ontario",99,"Other Christian"
"1385",1,0,99,4,3,3,"Ontario",99,"Non-religious"
"1386",0,0,99,2,4,2,"Ontario",99,"Non-religious"
"1388",0,0,4,3,3,3,"Ontario",99,"Other Christian"
"1389",1,0,99,1,3,2,"Manitoba",99,"Non-religious"
"1390",0,1,99,3,3,1,"Ontario",99,"Non-religious"
"1391",1,1,99,3,3,2,"Ontario",99,"Non-religious"
"1392",0,1,99,1,2,3,"Ontario",99,"Non-religious"
"1393",1,1,99,1,2,2,"Ontario",99,"Non-religious"
"1395",0,0,99,2,2,1,"Nova Scotia",99,"Non-religious"
"1396",0,0,1,1,2,3,"Nova Scotia",3,"Catholic"
"1397",0,1,1,2,3,3,"Ontario",6,"Catholic"
