"","SMS","male","Age","donated","Roma_Inf"
"377","Greek Rights",1,43,0,0
"378","Roma Child",0,38,0,0
"379","Neutral Rights",0,28,0,0
"380","Greek Child",1,39,0,0
"381","Greek Rights",1,36,0,0
"382","Neutral Child",0,33,0,0
"383","Greek Rights",1,52,0,0
"384","Roma Rights",1,32,0,0
"385","Neutral Child",1,36,0,0
"386","Roma Rights",1,49,0,0
"387","Neutral Child",1,116,0,0
"388","Neutral Child",1,33,0,0
"389","Greek Rights",1,32,0,0
"390","Roma Child",0,41,0,0
"391","Neutral Child",0,38,0,0
"392","Greek Child",1,36,0,0
"393","Roma Rights",1,51,0,0
"394","Roma Rights",0,33,0,0
"395","Greek Child",1,37,0,0
"396","Greek Child",1,34,0,0
"397","Roma Rights",0,35,0,0
"398","Greek Rights",0,23,0,0
"399","Greek Child",0,42,0,0
"400","Roma Child",1,45,0,0
"401","Neutral Child",0,33,0,0
"402","Neutral Rights",1,41,0,0
"403","Roma Rights",0,34,0,0
"404","Greek Rights",1,27,0,0
"405","Neutral Rights",1,41,0,0
"406","Roma Rights",1,40,0,0
"407","Greek Rights",0,42,0,0
"408","Roma Rights",1,34,0,0
"409","Roma Rights",1,19,0,0
"410","Neutral Child",1,40,0,0
"411","Roma Rights",1,32,0,0
"412","Neutral Child",1,31,0,0
"413","Neutral Child",0,31,0,0
"414","Roma Rights",0,33,0,0
"415","Greek Child",0,42,0,0
"416","Roma Rights",0,25,0,0
"417","Greek Rights",1,35,0,0
"418","Greek Child",1,55,0,0
"419","Neutral Rights",0,40,0,0
"420","Roma Rights",0,35,0,0
"421","Roma Rights",1,34,0,0
"422","Roma Rights",1,43,0,0
"423","Neutral Rights",1,47,0,0
"424","Greek Child",0,31,0,0
"425","Neutral Child",1,34,0,0
"426","Roma Child",1,36,0,0
"427","Greek Rights",1,39,0,0
"428","Greek Rights",1,38,0,0
"429","Greek Rights",1,46,0,0
"430","Roma Child",1,31,0,0
"431","Greek Rights",0,44,0,0
"432","Roma Child",1,44,0,0
"433","Greek Rights",0,40,0,0
"434","Greek Child",1,41,0,0
"435","Roma Rights",0,41,0,0
"436","Neutral Rights",0,35,0,0
"437","Greek Rights",0,52,0,0
"438","Roma Child",0,40,0,0
"439","Roma Rights",1,49,0,0
"440","Greek Child",1,30,0,0
"441","Greek Rights",1,32,0,0
"442","Greek Child",1,37,0,0
"443","Greek Child",0,33,0,0
"444","Roma Child",1,52,0,0
"445","Neutral Child",0,46,0,0
"446","Neutral Rights",1,48,0,0
"447","Roma Rights",1,32,0,0
"448","Neutral Child",1,36,0,0
"449","Roma Rights",0,31,0,0
"450","Neutral Rights",1,33,0,0
"451","Roma Rights",0,48,0,0
"452","Greek Rights",0,31,0,0
"453","Roma Child",1,33,0,0
"454","Greek Rights",0,46,0,0
"455","Neutral Child",0,46,0,0
"456","Greek Rights",0,37,0,0
"457","Neutral Child",0,40,0,0
"458","Greek Rights",1,31,0,0
"459","Neutral Rights",1,34,0,0
"460","Roma Rights",0,34,0,0
"461","Roma Child",1,52,0,0
"462","Greek Child",0,41,0,0
"463","Roma Child",0,33,0,0
"464","Greek Rights",1,32,0,0
"465","Roma Child",1,40,0,0
"466","Greek Child",1,24,0,0
"467","Greek Rights",1,41,0,0
"468","Greek Child",0,66,0,0
"469","Roma Child",0,39,0,0
"470","Greek Rights",1,34,0,0
"471","Neutral Rights",1,46,0,0
"472","Greek Rights",0,38,0,0
"473","Roma Rights",1,40,0,0
"474","Roma Rights",0,34,0,0
"475","Neutral Rights",0,37,0,0
"476","Greek Child",0,35,0,0
"477","Greek Rights",1,50,0,0
"478","Greek Rights",0,39,0,0
"479","Greek Rights",1,44,0,0
"480","Neutral Child",1,34,0,0
"481","Roma Child",0,30,0,0
"482","Greek Rights",1,37,0,0
"483","Greek Rights",1,61,0,0
"484","Roma Child",1,31,0,0
"485","Roma Child",1,40,0,0
"486","Neutral Rights",1,39,0,0
"487","Roma Rights",1,46,0,0
"488","Greek Child",0,35,1,0
"489","Roma Child",0,37,0,0
"490","Greek Rights",0,65,0,0
"491","Greek Child",0,46,0,0
"492","Neutral Rights",0,52,0,0
"493","Greek Child",1,34,0,0
"494","Neutral Rights",1,46,0,0
"495","Roma Rights",0,36,0,0
"496","Greek Rights",0,45,0,0
"497","Neutral Child",1,44,0,0
"498","Roma Rights",0,38,0,0
"499","Neutral Rights",1,34,0,0
"500","Roma Rights",0,32,0,0
"501","Roma Rights",1,35,0,0
"502","Greek Child",1,33,0,0
"503","Greek Child",0,38,0,0
"504","Roma Child",1,41,0,0
"505","Greek Rights",0,31,0,0
"506","Greek Rights",1,36,0,0
"507","Roma Rights",1,44,0,0
"508","Neutral Rights",1,49,0,0
"509","Neutral Child",1,58,0,0
"510","Roma Child",1,36,0,0
"511","Greek Rights",1,31,0,0
"512","Roma Child",1,31,0,0
"513","Roma Child",0,33,0,0
"514","Roma Child",0,36,0,0
"515","Roma Child",1,36,0,0
"516","Roma Child",0,40,0,0
"517","Greek Rights",1,32,0,0
"518","Roma Child",1,30,0,0
"519","Roma Rights",1,32,0,0
"520","Roma Rights",1,43,0,0
"521","Roma Rights",1,29,0,0
"522","Greek Rights",1,96,0,0
"523","Roma Rights",1,48,0,0
"524","Roma Rights",0,33,0,0
"525","Greek Child",1,38,0,0
"526","Greek Rights",1,36,0,0
"527","Neutral Child",1,29,0,0
"528","Roma Rights",1,46,0,0
"529","Greek Child",0,32,0,0
"530","Greek Child",1,40,0,0
"531","Roma Child",0,32,0,0
"532","Greek Child",0,33,0,0
"533","Roma Child",0,30,0,0
"534","Roma Rights",0,35,0,0
"535","Neutral Rights",0,39,0,0
"536","Greek Child",0,40,0,0
"537","Neutral Rights",0,34,0,0
"538","Greek Rights",1,41,0,0
"539","Roma Rights",1,60,0,0
"540","Neutral Rights",1,41,0,0
"541","Roma Rights",0,42,0,0
"542","Roma Rights",0,49,0,0
"543","Neutral Rights",1,31,0,0
"544","Greek Child",1,32,0,0
"545","Roma Rights",0,40,0,0
"546","Neutral Rights",1,36,0,0
"547","Roma Child",1,26,0,0
"548","Neutral Rights",1,31,0,0
"549","Greek Rights",0,43,0,0
"550","Greek Child",1,49,0,0
"551","Roma Child",1,32,0,0
"552","Neutral Child",0,27,0,0
"553","Neutral Rights",0,44,0,0
"554","Roma Rights",1,29,0,0
