"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
20,"France",1981,"National Centre of Independents and Peasants [Conservatives]",2.6,10,474,7.5636,6.4495,7.2219,"(1979,1984]","Conservative"
20,"France",1981,"Radical Party of the Left",1.1,14,474,4.0813,4.1676,4.2381,"(1979,1984]","Social democracy"
20,"France",1981,"Socialist Party",36,268,474,3.2493,3.248,2.9367,"(1979,1984]","Social democracy"
20,"France",1981,"Centre of Social Democrats",5.3,0,474,6.2,5.7,7.2,"(1979,1984]","Christian democracy"
21,"Switzerland",1951,"Radical Democratic Party",24,51,196,6.3249,8.0105,3.4159,"(1949,1954]","Liberal"
21,"Switzerland",1951,"Social Democratic Party of Switzerland",26,49,196,1.8319,1.7579,1.2281,"(1949,1954]","Social democracy"
21,"Switzerland",1951,"Liberal Party of Switzerland",2.6,5,196,7.2961,8.477,4.2441,"(1949,1954]","Liberal"
21,"Switzerland",1951,"Catholic Conservative / Christian Democratic Peoples Party",22.5,48,196,4.7288,5.6421,7.1414,"(1949,1954]","Christian democracy"
21,"Switzerland",1951,"Protestant Peoples Party",1,1,196,4.9248,4.4498,7.5812,"(1949,1954]","Christian democracy"
21,"Switzerland",1951,"Swiss People's Party",12.6,23,196,7.3575,8.9684,8.3385,"(1949,1954]","Agrarian"
21,"Switzerland",1951,"Democratic Group",2.2,4,196,3.3,3.5,3.5,"(1949,1954]","Social democracy"
21,"Switzerland",1951,"Swiss Party of Labour",2.7,5,196,0.5263,0.5835,1.6148,"(1949,1954]","Communist/Socialist"
21,"Switzerland",1951,"Independents Alliance",5.1,10,196,3.3,3.5,3.5,"(1949,1954]","Social democracy"
21,"Switzerland",1951,"Liberal Socialist Party",0.83,0,196,6,6.7,3.5,"(1949,1954]","Liberal"
22,"Austria",1996,"Freedom Party of Austria",27.53,6,21,8.3494,6.3291,8.5149,"(1994,1999]","Right-wing"
22,"Austria",1996,"Liberal Forum",4.26,1,21,4.8806,7.3667,1.8667,"(1994,1999]","Liberal"
22,"Austria",1996,"Social Democratic Party of Austria",29.15,6,21,3.7293,3.4728,3.4766,"(1994,1999]","Social democracy"
22,"Austria",1996,"Austrian People's Party",29.65,7,21,6.4733,6.9485,7.6198,"(1994,1999]","Christian democracy"
22,"Austria",1996,"The Greens -- The Green Alternative",6.81,1,21,2.4604,2.7489,1.4308,"(1994,1999]","Green/Ecologist"
22,"Austria",1996,"Citizens' Initiative for the retention of neutrality",1.28,0,21,NA,NA,NA,"(1994,1999]","Special issue"
23,"Netherlands",1979,"Christian Democratic Appeal",35.6,10,25,5.9376,5.8848,6.6882,"(1974,1979]","Christian democracy"
23,"Netherlands",1979,"Radical Political Party",1.62,0,25,1.6,2.5,1.8,"(1974,1979]","Green/Ecologist"
23,"Netherlands",1979,"Democrats 66",9.03,2,25,4.5066,4.9917,1.7625,"(1974,1979]","Liberal"
23,"Netherlands",1979,"Reformed Political League",1.1,0,25,8.1444,5.8,8.6364,"(1974,1979]","Conservative"
23,"Netherlands",1979,"Labour Party",30.39,9,25,3.6118,3.868,3.2028,"(1974,1979]","Social democracy"
23,"Netherlands",1979,"Communist Party of the Netherlands",1.72,0,25,0.8,1.4,3,"(1974,1979]","Communist/Socialist"
23,"Netherlands",1979,"Political Reformed Party",2.23,0,25,8.7531,6.3487,9.7744,"(1974,1979]","Conservative"
23,"Netherlands",1979,"People's Party for Freedom and Democracy",16.14,4,25,7.3482,7.8979,4.3887,"(1974,1979]","Liberal"
23,"Netherlands",1979,"Pacifist Socialist Party",1.72,0,25,0.6,1.4,3,"(1974,1979]","Communist/Socialist"
24,"Finland",1995,"Aland Coalition",0.4,1,200,NA,NA,NA,"(1994,1999]","Special issue"
24,"Finland",1995,"Centre Party",19.8,44,200,5.8027,4.9349,7.2203,"(1994,1999]","Agrarian"
24,"Finland",1995,"Finnish Party | True Finns",1.3,1,200,6.6331,4.8745,7.999,"(1994,1999]","Agrarian"
