"","gov","senate","optout","p2p","election","previous_vote","current_vote","winner","female","quality","media_mentions","spending"
"365",1,0,0,0,2008,51.07,55.8,1,0,0,249,47946.43
"366",0,0,0,0,2008,52.04,70.3,1,0,0,86,23605.43
"367",0,0,0,1,2006,48.77,51.07,1,0,0,1612,78342.7
"368",1,0,0,1,2006,48.2,52.04,1,0,0,77,44893.75
"369",0,0,0,0,2006,54.93,39.3,0,0,1,12,61526.16
"370",0,0,0,0,2008,52.2,49.9,1,0,1,16,63527.42
"371",0,0,0,1,2008,51,45.4,1,0,0,169,82764.17
"372",0,0,0,0,2006,58.74,52.2,1,0,0,9,64803.31
"373",0,0,0,0,2006,58.88,51,1,0,0,31,75466.39
"374",0,0,0,1,2008,50.16,50.1,1,0,0,243,65348.14
"375",0,0,1,1,2006,68.36,72.36,1,0,0,22615,67266.44
"376",1,0,0,1,2008,46.4,45.9,1,0,0,34,66280.1
"377",0,0,0,0,2006,44.29,46.98,1,0,1,246,71847
"378",0,0,0,1,2006,49.79,50.24,1,0,0,1280,46060
"379",0,0,0,1,2008,59.85,61.7,1,0,0,20682,46548.61
"380",0,0,0,1,2008,37.7,35.4,0,1,0,131,72288.28
"381",0,0,0,0,2008,34.25,36.4,1,0,0,320,79459.56
"382",0,0,0,0,2008,53.1,39.4,0,1,1,113,62484.23
"383",1,0,0,1,2006,54.58,53.1,1,1,0,20,65693.5
"384",0,0,0,0,2006,74.76,75.45,1,0,0,89,42057.5
"385",0,0,0,0,2008,40.22,34.7,1,0,0,18,89505.03
"386",0,0,0,0,2008,40.68,28.8,0,1,0,117,-99999
"387",0,0,1,1,2008,50.53,70.3,1,0,0,165,26886.5
"388",0,0,0,0,2006,33.21,42.15,1,0,0,105,65723.3
"389",1,0,0,1,2006,49.46,47.83,1,0,0,99,31802.83
"390",0,0,0,0,2008,38.88,40.4,1,0,0,207,83315.53
"391",0,0,0,0,2006,38.29,38.88,1,0,0,137,69741
"392",0,0,0,0,2008,48.05,38.5,1,0,0,1577,74163.09
"393",0,0,0,0,2006,63.02,65.68,1,0,0,757,40862.19
"394",0,0,0,0,2008,40.75,38.6,0,1,0,108,70871.95
"395",1,0,0,0,2008,45.95,35.8,0,0,0,620,82516.4
"396",1,0,0,1,2006,50.56,45.95,1,0,1,20,75999
"397",0,0,0,1,2008,50.48,44.2,1,0,0,569,52600.18
"398",0,0,0,0,2008,36.03,41.4,1,0,0,56,-99999
"399",1,0,0,0,2006,48,54,1,1,0,19,69726.52
"400",0,0,0,0,2006,62.4,56.02,1,0,0,54,41485.68
